01:38:48.036,01:39:17.127,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-76, -9.0)
01:38:49.364,01:39:18.481,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-76, -9.5)
01:38:50.860,01:39:19.965,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-75, -11.0), Neighbor(nr-arfcn 2084071, pci 500, rsrp -105.0, rsrq -11.5)
01:38:50.941,01:39:20.041,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2084071 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
01:38:51.009,01:39:20.080,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
01:38:51.035,01:39:20.147,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-75, -10.0)
01:38:51.036,01:39:20.166,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
01:38:51.210,22:54:48.319,<---,BCCH:BCH,5GNR,5GNR MasterInformationBlock,subCarrierSpacingCommon : scs120
01:38:51.210,01:39:20.343,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
01:38:51.231,01:39:20.350,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
01:38:55.493,01:39:24.629,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 500, ss-rsrp -109.0, ss-rsrq -11.5) / Neighbor(pci 499, ss-rsrp -104.0)
01:38:55.563,01:39:24.685,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2084071 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
01:38:55.612,01:39:24.708,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
01:38:55.638,01:39:24.761,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
01:38:55.656,01:39:24.785,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
01:38:56.254,01:39:25.390,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-74, -10.5)
01:39:01.380,01:39:30.509,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-80, -8.5)
01:39:04.121,01:39:33.255,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
01:39:04.136,01:39:33.270,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
01:39:04.302,01:39:33.435,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,Split Bearer Config / Split Bearer Config (Primary Path: MCG / ul-DataSplitThreshold: infinity)
01:39:04.308,01:39:33.443,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
01:39:05.458,01:39:34.595,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
01:39:05.475,01:39:34.610,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
01:39:05.970,01:39:35.096,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
01:39:05.975,01:39:35.110,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
01:39:06.268,01:39:35.389,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 499, ss-rsrp -112.0, ss-rsrq -12.0) / Neighbor(pci 498, ss-rsrp -106.0)
01:39:06.298,01:39:35.432,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2084071 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
01:39:06.337,01:39:35.458,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
01:39:06.379,01:39:35.512,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
01:39:06.401,01:39:35.532,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
01:39:06.489,01:39:35.623,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-82, -9.0)
01:39:06.819,01:39:35.953,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
01:39:06.833,01:39:35.967,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
01:39:11.617,01:39:40.749,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-81, -12.0)
01:39:16.737,01:39:45.869,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 498, ss-rsrp -109.0, ss-rsrq -11.0) / Neighbor(pci 523, ss-rsrp -104.0)
01:39:16.737,01:39:45.869,--->,UL DCCH,LTE,LTE measurementReport,Event : periodical / Purpose : reportStrongestCells / Serving(-85, -10.0)
01:39:16.814,01:39:45.936,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2084071 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
01:39:16.886,01:39:45.959,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
01:39:16.896,01:39:46.012,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
