00:42:21.025,00:42:41.441,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:42:21.026,00:42:41.467,--->,UL EPS MM,LTE,Attach request - PDN connectivity request,DCNR : True
00:42:21.331,00:42:41.815,--->,UL DCCH,LTE,LTE ueCapabilityInformation,en-DC: supported / sa-NR: -
00:42:21.346,00:42:41.844,<---,DL DCCH,LTE,LTE ueCapabilityEnquiry,rat-type : eutra_nr
00:42:21.347,00:42:41.849,--->,UL DCCH,LTE,LTE ueCapabilityInformation,rat-type : eutra_nr
00:42:21.347,00:42:41.849,<---,DL DCCH,LTE,LTE ueCapabilityEnquiry,rat-type : nr
00:42:21.348,00:42:41.854,--->,UL DCCH,LTE,LTE ueCapabilityInformation,rat-type : nr
00:42:21.428,00:42:41.904,<---,DL EPS MM,LTE,Attach accept - Activate default EPS bearer context request,BearerIdentity : 5 / APN : ims.mnc480.mcc311.gprs / PDN : 01ac:912b:87d5:d456
00:42:21.429,00:42:41.909,--->,UL EPS MM,LTE,Attach complete - Activate default EPS bearer context accept,
00:42:31.983,00:42:52.485,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-89, -14.5), Neighbor(nr-arfcn 2084071, pci 523, rsrp -88.0, rsrq -10.5)
00:42:32.097,00:42:52.591,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2084071 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
00:42:32.176,00:42:52.616,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
00:42:32.177,22:54:48.319,<---,BCCH:BCH,5GNR,5GNR MasterInformationBlock,subCarrierSpacingCommon : scs120
00:42:32.186,00:42:52.683,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
00:42:32.187,00:42:52.697,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
00:42:32.208,00:42:52.726,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:42:53.383,00:43:13.900,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-98, -9.5)
00:42:53.580,00:43:14.081,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:42:54.402,00:43:14.904,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-103, -18.5)
00:42:54.402,00:43:14.904,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-103, -18.5), Neighbor(nr-arfcn 2074081, pci 522, rsrp -98.0, rsrq -11.0)
00:42:54.526,00:43:15.027,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
00:42:55.479,00:43:15.985,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-97, -15.5), Neighbor(nr-arfcn 2074081, pci 522, rsrp -97.0, rsrq -10.5)
