22:54:06.327,22:54:23.843,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-94, -12.5), Neighbor(nr-arfcn 648672, pci 88, rsrp -86.0, rsrq -12.0)
22:54:06.368,22:54:23.896,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
22:54:06.402,22:54:23.925,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
22:54:06.429,22:54:23.952,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
22:54:06.430,22:54:23.966,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
22:54:06.456,22:54:23.987,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
22:54:07.654,22:54:25.182,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
22:54:07.655,22:54:25.191,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
22:54:11.459,22:54:28.998,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
22:54:11.481,22:54:29.009,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
22:54:11.625,22:54:29.169,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A3 / Serving(pci 88, ss-rsrp -101.0, ss-rsrq -18.5) / Neighbor(pci 393, ss-rsrp -88.0, ss-rsrq -13.0)
22:54:11.690,22:54:29.220,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
22:54:11.716,22:54:29.235,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
22:54:11.731,22:54:29.265,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
22:54:11.757,22:54:29.286,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
22:54:13.824,22:54:31.366,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
22:54:13.831,22:54:31.378,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
22:54:15.731,22:54:33.277,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-92, -20.0)
22:54:15.819,22:54:33.352,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-SameNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
22:54:15.863,22:54:33.372,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
22:54:15.864,22:54:33.396,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
22:54:15.868,22:54:33.407,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
22:54:15.869,22:54:33.416,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
22:54:17.097,22:54:34.640,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
22:54:17.107,22:54:34.652,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
22:54:20.936,22:54:38.479,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
22:54:20.951,22:54:38.492,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
22:54:23.312,22:54:40.830,--->,UL DCCH,5GNR,5GNR measurementReport,Event: A5 / Serving(pci 393, ss-rsrp -89.0, ss-rsrq -13.0) / Neighbor(pci 522, ss-rsrp -92.0)
22:54:23.333,22:54:40.878,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC SN Release Request / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 2074081 / SubcarrierSpacing : kHz120 / carrierBandwidth : 66 / frequencyBandList : 261 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
22:54:23.433,22:54:40.919,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC SN Release Success
22:54:23.468,22:54:48.319,<---,BCCH:BCH,5GNR,5GNR MasterInformationBlock,subCarrierSpacingCommon : scs120
22:54:23.493,22:54:41.035,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,HANDOVER
22:54:23.507,22:54:41.051,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
22:54:31.092,22:54:48.632,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-92, -17.5)
