18:22:08.525,18:22:25.465,--->,UL DCCH,LTE,LTE measurementReport,Event : B1_NR_r15 / Serving(-69, -9.0), Neighbor(nr-arfcn 648672, pci 82, rsrp -109.0, rsrq -14.5)
18:22:08.777,18:22:25.734,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,ENDC LTE HO Request(DiffLTE-DiffNR) / Split Bearer Config / keyToUse : secondary / cellGroupId : 1 / absoluteFrequencySSB : 648672 / SubcarrierSpacing : kHz30 / carrierBandwidth : 162 / frequencyBandList : 77 / Split Bearer Config (Primary Path: SCG / ul-DataSplitThreshold: b3200)
18:22:08.824,18:22:25.755,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,ENDC LTE HO Success
18:22:08.824,18:22:25.783,,5GNR RACH,5GNR,5GNR MAC RACH Trigger,CONNECTION_REQUEST
18:22:08.828,18:22:25.793,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,FAILURE_MSG2_RA_TIMER_EXP
18:22:08.852,18:22:25.806,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
18:22:08.853,18:22:25.816,,5GNR RACH,5GNR,5GNR MAC RACH Attempt,SUCCESS
18:22:08.956,18:22:25.922,<---,BCCH:DL SCH,LTE,LTE systemInformation - sib2, sib3,UPPR[1]: True
18:22:13.909,18:22:30.874,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
18:22:13.921,18:22:30.887,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
18:22:18.982,18:22:35.949,<---,DL DCCH,LTE,LTE rrcConnectionReconfiguration,cellGroupId : 1
18:22:19.032,18:22:35.989,--->,UL DCCH,LTE,LTE rrcConnectionReconfigurationComplete,
18:22:23.906,18:22:40.871,--->,UL DCCH,LTE,LTE measurementReport,Event : A3 / Serving(-81, -13.5)
